"combo","pop","order"
"K/R_I/A",2,1
"R/I_A",2,2
"I/Y_N/A",2,3
"K/M_A",2,4
"M/Y_M/A",2,5
"Y/N_M/A",2,6
"I/M_R/A",2,7
"M/I_I/A",2,8
"G/W_M/A",2,9
"I/R_A",2,10
"M/G_M/A",2,11
"W/Y_I/A",2,12
"N/M_K/A",2,13
"R/I_M/A",2,14
"I/K_A",2,15
"M/N_B/A",2,16
"W/G_I/A",2,17
"N/B_M/A",2,18
"B/I_I/A",2,19
"I/W_R/A",2,20
"R/I_A",2,21
"B/M_M/A",2,22
"G/I_K/A",2,23
"M/I_G/A",2,24
"K/G_M/A",2,25
"W/Y_I/A",2,26
"K/I_B/A",2,27
"Y/M_K/A",2,28
"Y_I/A",2,29
"I/B_R/A",2,30
"I/G_A",2,31
"M_N/A",2,32
"I/Y_Y/A",2,33
"N/M_Y/A",2,34
"M/M_A",2,35
"Y/N_M/A",2,36
"N_I/A",2,37
"M/M_W/A",2,38
"M/K_A",2,39
"N/I_R/A",2,40
"M/I_I/A",2,41
"K/R_I/A",2,42
"G/M_W/A",2,43
"M/N_I/A",2,44
"G/I_G/A",2,45
"I/K_M/A",2,46
"I/B_K/A",2,47
"I/Y_N/A",2,48
"N/G_I/A",2,49
"W_M/A",2,50
"K/W_M/A",2,51
"I/Y_A",2,52
"I/I_R/A",2,53
"M/G_M/A",2,54
"I/N_I/A",2,55
"R/I_I/A",2,56
"W/G_I/A",2,57
"I/B_B/A",2,58
"I/I_K/A",2,59
"B/I_G/A",2,60
"B/I_I/A",2,61
"I/W_N/A",2,62
"M/K_R/A",2,63
"I/W_R/A",2,64
"M/N_B/A",2,65
"N/R_I/A",2,66
"B/I_B/A",2,67
"N/M_G/A",2,68
"M/Y_I/A",2,69
"B/I_M/A",2,70
"W/K_M/A",2,71
"M/Y_M/A",2,72
"R/K_I/A",2,73
"I_R/A",2,74
"K/B_I/A",2,75
"Y/I_M/A",3,1
"R/W_I/A",3,2
"M/R_N/A",3,3
"G/I_A",3,4
"M/K_G/A",3,5
"B/N_M/A",3,6
"I/G_W/A",3,7
"I/W_W/A",3,8
"I_M/A",3,9
"Y/M_B/A",3,10
"N/B_I/A",3,11
"M/W_N/A",3,12
"M/B_G/A",3,13
"M/G_G/A",3,14
"R/B_M/A",3,15
"K/I_Y/A",3,16
"I/N_W/A",3,17
"M/Y_Y/A",3,18
"I/Y_K/A",3,19
"I/G_R/A",3,20
"I/G_R/A",3,21
"I/W_W/A",3,22
"B/W_M/A",3,23
"I/N_W/A",3,24
"I/K_W/A",3,25
"N/M_M/A",3,26
"K/B_M/A",3,27
"I/K_R/A",3,28
"B/I_R/A",3,29
"M/R_N/A",3,30
"I/G_Y/A",3,31
"I/K_I/A",3,32
"M/B_G/A",3,33
"M/N_A",3,34
"W/M_A",3,35
"R/M_A",3,36
"M/G_K/A",3,37
"M/Y_W/A",3,38
"B/N_M/A",3,39
"N/B_I/A",3,40
"K/I_A",3,41
"M/R_K/A",3,42
"R/I_N/A",3,43
"R/W_I/A",3,44
"W/I_W/A",3,45
"B_M/A",3,46
"W/I_R/A",3,47
"I/K_G/A",3,48
"Y/M_I/A",3,49
"M/W_Y/A",3,50
"R/R_M/A",3,51
"I/G_N/A",3,52
"I/Y_I/A",3,53
"I/I_M/A",3,54
"K/M_K/A",3,55
"G/N_I/A",3,56
"Y/K_I/A",3,57
"R/K_M/A",3,58
"M/I_W/A",3,59
"I/B_A",3,60
"R/B_M/A",3,61
"I/R_N/A",3,62
"I_M/A",3,63
"Y/I_A",3,64
"M/K_G/A",3,65
