combo,pop
L_0/0 R_0/a,8
L_0/a R_0/0,8
L_0/0 R_bk/a,8
L_0/0 R_or/a,8
L_0/0 R_w/a,8
L_0/0 R_g/a,8
L_0/0 R_n/a,8
L_0/0 R_bw/a,8
L_0/0 R_r/a,8
L_0/0 R_ltb/a,8
L_bk/a R_0/0,8
L_or/a R_0/0,8
L_w/a R_0/0,8
L_g/a R_0/0,8
L_n/a R_0/0,8
L_bw/a R_0/0,8
L_r/a R_0/0,8
L_ltb/a R_0/0,8
L_bk/0 R_bk/a,8
L_or/0 R_or/a,8
L_w/0 R_w/a,8
L_g/0 R_g/a,6
L_n/0 R_n/a,6
L_bw/0 R_bw/a,6
L_r/0 R_r/a,6
L_ltb/0 R_ltb/a,6
L_or/0 R_bk/a,6
L_w/0 R_bk/a,6
L_g/0 R_bk/a,6
L_n/0 R_bk/a,6
L_bw/0 R_bk/a,6
L_r/0 R_bk/a,6
L_ltb/0 R_bk/a,6
L_bk/0 R_or/a,6
L_w/0 R_or/a,6
L_g/0 R_or/a,5
L_n/0 R_or/a,5
L_bw/0 R_or/a,5
L_r/0 R_or/a,5
L_ltb/0 R_or/a,5
L_bk/0 R_w/a,5
L_or/0 R_w/a,5
L_g/0 R_w/a,5
L_n/0 R_w/a,5
L_bw/0 R_w/a,5
L_r/0 R_w/a,5
L_bk/0 R_g/a,5
L_or/0 R_g/a,5
L_w/0 R_g/a,5
L_n/0 R_g/a,5
L_bw/0 R_g/a,5
L_r/0 R_g/a,5
L_ltb/0 R_g/a,5
L_bk/0 R_n/a,5
L_or/0 R_n/a,5
L_w/0 R_n/a,6
L_g/0 R_n/a,6
L_bw/0 R_n/a,6
L_r/0 R_n/a,6
L_ltb/0 R_n/a,6
L_bk/0 R_bw/a,6
L_or/0 R_bw/a,10
L_w/0 R_bw/a,10
L_g/0 R_bw/a,10
L_n/0 R_bw/a,10
L_r/0 R_bw/a,10
L_ltb/0 R_bw/a,10
L_bk/0 R_r/a,10
L_or/0 R_r/a,10
L_w/0 R_r/a,10
L_g/0 R_r/a,2
L_n/0 R_r/a,2
L_bw/0 R_r/a,2
L_ltb/0 R_r/a,2
L_bk/0 R_ltb/a,2
L_or/0 R_ltb/a,2
L_g/0 R_ltb/a,2
L_n/0 R_ltb/a,2
L_bw/0 R_ltb/a,2
L_r/0 R_ltb/a,2
L_bk/bk R_bk/a,2
L_or/or R_or/a,2
L_w/w R_w/a,2
L_g/g R_g/a,2
L_n/n R_n/a,2
L_bw/bw R_bw/a,2
L_r/r R_r/a,2
L_ltb/ltb R_ltb/a,2
L_or/or R_bk/a,2
L_w/w R_bk/a,2
L_g/g R_bk/a,10
L_n/n R_bk/a,10
L_bw/bw R_bk/a,10
L_r/r R_bk/a,10
L_ltb/ltb R_bk/a,9
L_bk/bk R_or/a,9
L_w/w R_or/a,9
L_g/g R_or/a,9
L_n/n R_or/a,9
L_bw/bw R_or/a,9
L_r/r R_or/a,9
L_ltb/ltb R_or/a,9
L_bk/bk R_w/a,9
L_or/or R_w/a,10
L_g/g R_w/a,10
L_n/n R_w/a,10
L_bw/bw R_w/a,10
L_r/r R_w/a,10
L_bk/bk R_g/a,10
L_or/or R_g/a,10
L_w/w R_g/a,9
L_n/n R_g/a,9
L_bw/bw R_g/a,9
L_r/r R_g/a,9
L_ltb/ltb R_g/a,9
L_bk/bk R_n/a,9
L_or/or R_n/a,9
L_w/w R_n/a,9
L_g/g R_n/a,9
L_bw/bw R_n/a,9
L_r/r R_n/a,9
L_ltb/ltb R_n/a,9
L_or/or R_bw/a,2
L_bk/bk R_bw/a,2
L_w/w R_bw/a,2
L_g/g R_bw/a,2
L_n/n R_bw/a,2
L_r/r R_bw/a,2
L_ltb/ltb R_bw/a,2
L_bk/bk R_r/a,2
L_or/or R_r/a,2
L_w/w R_r/a,2
L_g/g R_r/a,10
L_bw/bw R_r/a,10
L_ltb/ltb R_r/a,10
L_bk/bk R_ltb/a,10
L_or/or R_ltb/a,2
L_w/w R_ltb/a,2
L_g/g R_ltb/a,2
L_n/n R_ltb/a,10
L_bw/bw R_ltb/a,2
L_r/r R_ltb/a,2
L_or/w R_bk/a,2
L_or/g R_bk/a,2
L_or/n R_bk/a,2
L_or/bw R_bk/a,2
L_or/r R_bk/a,2
L_or/ltb R_bk/a,2
L_bk/w R_or/a,2
L_bk/g R_or/a,2
L_g/w R_w/a,10
L_g/n R_w/a,2
L_g/bw R_w/a,2
L_g/r R_w/a,2
L_g/ltb R_w/a,2
L_w/n R_g/a,2
L_bw/w R_n/a,2
L_bw/r R_n/a,2
L_bw/ltb R_n/a,2
L_n/w R_bw/a,2
L_n/r R_bw/a,2
L_n/ltb R_bw/a,2
L_ltb/w R_r/a,10
L_ltb/r R_r/a,10
L_r/w R_ltb/a,2
L_r/ltb R_ltb/a,2
L_0/0 R_y/a,2
L_y/a R_0/0,2
L_y/0 R_ltb/0,10
L_w/0 R_y/a,10
L_ltb/0 R_y/a,10
L_ltb/w R_y/a,2
L_r/0 R_y/a,2
L_n/0 R_y/a,2
L_bk/0 R_y/a,10
L_or/0 R_y/a,10
L_g/0 R_y/a,10
L_r/n R_y/a,10
L_r/or R_y/a,2
L_bk/r R_y/a,2
L_bk/y R_y/a,10
L_r/g R_y/a,10
L_or/n R_y/a,10
L_y/0 R_r/a,2
L_y/0 R_n/a,2
L_y/0 R_ltb/a,2
L_y/0 R_bk/a,2
L_r/y R_bk/a,2
L_bk/a R_w/or,6
L_bk/a R_w/w,6
L_bk/a R_w/g,6
L_bk/a R_w/n,6
L_bk/a R_w/r,6
L_or/a R_g/bk,6
L_or/a R_g/or,6
L_or/a R_g/w,9
L_or/a R_g/n,9
L_or/a R_g/bw,9
L_or/a R_g/r,9
L_w/a R_n/bk,9
L_w/a R_n/or,8
L_w/a R_n/w,8
L_w/a R_n/g,8
L_w/a R_n/n,8
L_w/a R_n/bw,8
L_w/a R_n/r,5
L_g/a R_bw/or,2
L_n/a R_r/bk,2
L_n/a R_r/or,2
L_n/a R_r/w,2
L_n/a R_r/g,2
L_n/a R_r/n,2
L_n/a R_r/bw,2
L_n/a R_r/r,2
L_n/a R_r/ltb,2
L_bw/a R_ltb/or,2
L_bw/a R_ltb/g,10
L_bw/a R_ltb/n,10
L_bw/a R_ltb/bw,10
L_bw/a R_ltb/r,10
L_bw/a R_ltb/ltb,5
L_r/a R_bk/bk,5
L_r/a R_bk/or,5
L_r/a R_bk/w,10
L_r/a R_bk/g,10
L_r/a R_bk/n,6
L_r/a R_bk/bw,6
L_r/a R_bk/r,6
L_ltb/a R_or/bk,6
L_ltb/a R_or/or,10
L_ltb/a R_or/g,9
L_ltb/a R_or/n,9
L_ltb/a R_or/r,9
L_ltb/a R_or/ltb,9
L_y/a R_g/bk,9
L_y/a R_g/or,9
L_y/a R_n/r,9
L_bk/a R_bk/bk,2
L_w/a R_w/w,2
L_or/a R_or/or,2
L_g/a R_g/g,2
L_n/a R_n/n,2
L_bw/a R_bw/bw,8
L_r/a R_r/r,8
L_ltb/a R_ltb/ltb,8
L_bk/a R_bk/g,8
L_bk/a R_or/g,8
L_bk/a R_w/g,8
L_bk/a R_g/g,10
L_bk/a R_n/g,10
L_bk/a R_bw/g,10
L_bk/a R_r/g,5
L_bk/a R_ltb/g,5
L_or/a R_bk/n,2
L_or/a R_or/n,2
L_or/a R_w/n,2
L_or/a R_g/n,2
L_or/a R_n/n,10
L_or/a R_bw/n,10
L_or/a R_r/n,10
L_or/a R_ltb/n,10
L_w/a R_bk/bw,9
L_w/a R_or/bw,2
L_w/a R_g/bw,2
L_w/a R_w/bw,2
L_w/a R_n/bw,10
L_w/a R_bw/bw,10
L_w/a R_r/bw,10
L_g/a R_bk/r,2
L_g/a R_or/r,9
L_g/a R_w/r,9
L_g/a R_g/r,2
L_g/a R_n/r,2
L_g/a R_bw/r,2
L_g/a R_r/r,9
L_bk/ltb R_n/a,2
L_n/a R_or/ltb,9
L_n/a R_g/ltb,10
L_n/a R_n/ltb,10
L_n/a R_bw/ltb,9
L_n/a R_r/ltb,9
L_n/a R_ltb/ltb,9
L_bw/a R_bk/bk,2
L_bw/a R_or/bk,2
L_bw/a R_w/bk,2
L_bw/a R_g/bk,9
L_bw/a R_n/bk,9
L_bw/a R_bw/bk,9
L_bw/a R_r/bk,2
L_bw/a R_ltb/bk,2
L_r/a R_bk/w,2
L_r/a R_or/w,2
L_r/a R_w/w,2
L_r/a R_g/w,9
L_r/a R_n/w,9
L_r/a R_bw/w,9
L_r/a R_r/w,2
L_r/a R_ltb/w,2
L_ltb/a R_bk/or,2
L_ltb/a R_or/or,2
L_ltb/a R_w/or,10
L_ltb/a R_g/or,2
L_ltb/a R_n/or,2
L_ltb/a R_bw/or,9
L_ltb/a R_or/r,2
L_ltb/a R_or/ltb,2
L_y/a R_r/r,2
L_y/a R_n/n,2
L_y/a R_g/g,10
L_y/a R_bk/bk,2
L_y/a R_w/w,2
L_y/a R_or/or,2
L_y/a R_r/n,2
L_y/a R_r/g,2
L_y/a R_r/bk,2
L_y/a R_r/w,2
L_0/0 R_a/0,2
L_y/a R_n/g,2
L_y/a R_n/bk,2
L_y/a R_n/w,2
L_y/a R_n/or,2
L_y/a R_g/bk,2
L_y/a R_g/w,2
L_y/a R_g/or,9
L_a/r R_r/r,2
L_a/n R_n/n,2
L_a/g R_g/g,2
L_a/bk R_bk/bk,9
L_a/w R_w/w,9
L_a/g R_r/n,9
L_a/w R_n/g,9
L_a/n R_r/r,9
L_a/g R_r/r,9
L_a/w R_r/r,9
L_a/r R_n/n,9
L_a/y R_r/r,9
L_a/g R_y/y,9
L_gy/a R_0/0,2
L_p/a R_gy/0,2
L_r/a R_gy/0,2
L_0/a R_0/0,2
L_gy/a R_n/0,2
L_gy/a R_g/0,2
L_gy/a R_y/0,2
L_gy/a R_w/0,2
L_gy/a R_bk/0,10
L_gy/a R_p/0,10
L_gy/a R_w/bk,9
L_gy/a R_w/y,9
L_gy/a R_w/n,9
L_gy/a R_w/r,2
L_gy/a R_w/g,2
L_gy/a R_bk/y,2
L_gy/a R_bk/n,2
L_gy/a R_bk/r,2
L_gy/a R_bk/g,9
L_gy/a R_y/n,9
L_gy/a R_y/r,9
L_gy/a R_y/g,9
L_gy/a R_n/r,9
L_gy/a R_n/g,9
L_gy/a R_r/g,9
L_g/a R_gy/g,2
L_n/a R_gy/n,2
L_r/a R_gy/r,2
L_w/a R_gy/w,2
L_bk/a R_gy/bk,9
L_y/a R_gy/y,9
L_bk/a R_gy/w,10
L_y/a R_gy/w,2
L_n/a R_gy/w,2
L_r/a R_gy/w,10
L_n/a R_gy/y,9
L_r/a R_gy/y,9
L_g/a R_gy/y,9
L_p/a R_r/n,9
L_p/a R_r/g,2
L_p/a R_r/r,2
L_p/a R_n/n,2
L_p/a R_g/g,2
L_p/a R_bk/bk,2
L_p/a R_w/w,2
L_p/a R_y/y,9
L_p/a R_gy/gy,9
L_p/a R_r/n,9
L_p/a R_r/g,9
L_w/r R_p/a,2
L_bk/r R_p/a,2
L_y/r R_p/a,2
L_0/r R_0/a,9
L_0/n R_0/a,9
L_n/r R_p/a,2
L_g/p R_g/a,2
L_n/p R_n/a,2
L_y/p R_y/a,9
L_w/p R_w/a,9
L_r/p R_r/a,9
L_bk/p R_bk/a,9
L_bk/w R_n/a,9
L_bk/y R_n/a,9
L_bk/g R_n/a,9
L_bk/r R_n/a,9
L_bk/p R_n/a,10
L_p/r R_g/a,9
L_a/0 R_0/0,9
