"combo","pop"
"_A",8
"A_",8
"_K/A",8
"_O/A",8
"_W/A",8
"_G/A",8
"_B/A",8
"_N/A",8
"_R/A",8
"_L/A",8
"K/A_",8
"O/A_",8
"W/A_",8
"G/A_",8
"B/A_",8
"N/A_",8
"R/A_",8
"L/A_",8
"K_K/A",8
"O_O/A",8
"W_W/A",8
"G_G/A",6
"B_B/A",6
"N_N/A",6
"R_R/A",6
"L_L/A",6
"O_K/A",6
"W_K/A",6
"G_K/A",6
"B_K/A",6
"N_K/A",6
"R_K/A",6
"L_K/A",6
"K_O/A",6
"W_O/A",6
"G_O/A",5
"B_O/A",5
"N_O/A",5
"R_O/A",5
"L_O/A",5
"K_W/A",5
"O_W/A",5
"G_W/A",5
"B_W/A",5
"N_W/A",5
"R_W/A",5
"K_G/A",5
"O_G/A",5
"W_G/A",5
"B_G/A",5
"N_G/A",5
"R_G/A",5
"L_G/A",5
"K_B/A",5
"O_B/A",5
"W_B/A",6
"G_B/A",6
"N_B/A",6
"R_B/A",6
"L_B/A",6
"K_N/A",6
"O_N/A",10
"W_N/A",10
"G_N/A",10
"B_N/A",10
"R_N/A",10
"L_N/A",10
"K_R/A",10
"O_R/A",10
"W_R/A",10
"G_R/A",2
"B_R/A",2
"N_R/A",2
"L_R/A",2
"K_L/A",2
"O_L/A",2
"G_L/A",2
"B_L/A",2
"N_L/A",2
"R_L/A",2
"K/K_K/A",2
"O/O_O/A",2
"W/W_W/A",2
"G/G_G/A",2
"B/B_B/A",2
"N/N_N/A",2
"R/R_R/A",2
"L/L_L/A",2
"O/O_K/A",2
"W/W_K/A",2
"G/G_K/A",10
"B/B_K/A",10
"N/N_K/A",10
"R/R_K/A",10
"L/L_K/A",9
"K/K_O/A",9
"W/W_O/A",9
"G/G_O/A",9
"B/B_O/A",9
"N/N_O/A",9
"R/R_O/A",9
"L/L_O/A",9
"K/K_W/A",9
"O/O_W/A",10
"G/G_W/A",10
"B/B_W/A",10
"N/N_W/A",10
"R/R_W/A",10
"K/K_G/A",10
"O/O_G/A",10
"W/W_G/A",9
"B/B_G/A",9
"N/N_G/A",9
